year,province_code,province_name,region,subject,subject_label,count,mean,std,share_ge_8,share_ge_10,share_lt_5
2017,22,Hưng Yên,Miền Bắc,NgoaiNgu,Ngoại ngữ,10358,4.1548,1.7343,0.05618845336937633,0.0013516122803630044,0.7494690094612859
2017,22,Hưng Yên,Miền Bắc,NguVan,Ngữ văn,11281,5.1957,1.391,0.017994858611825194,0.0,0.37443489052388973
2017,22,Hưng Yên,Miền Bắc,SinhHoc,Sinh học,5494,4.4188,1.5318,0.04368401892974154,0.0007280669821623589,0.7009464870768111
2017,22,Hưng Yên,Miền Bắc,Toan,Toán,11549,5.3678,2.1365,0.16382370768031865,0.00034635033336219586,0.4666204866222184
2017,22,Hưng Yên,Miền Bắc,VatLy,Vật lí,5607,5.3558,2.0508,0.13447476368824685,0.00017834849295523454,0.44230426252898164
2017,23,Hòa Bình,Miền Bắc,DiaLy,Địa lí,6600,5.8307,1.537,0.09818181818181818,0.0012121212121212121,0.2721212121212121
2017,23,Hòa Bình,Miền Bắc,GDCD,GDCD,6097,7.3626,1.1211,0.35525668361489254,0.0001640150893882237,0.024930293587010006
2017,23,Hòa Bình,Miền Bắc,HoaHoc,Hóa học,3084,4.0562,1.9772,0.06744487678339818,0.0025940337224383916,0.7386511024643321
2017,23,Hòa Bình,Miền Bắc,LichSu,Lịch sử,6729,4.159,1.5238,0.03180264526675583,0.0001486104919007282,0.7446871749145489
2017,23,Hòa Bình,Miền Bắc,NgoaiNgu,Ngoại ngữ,7127,3.3798,1.3424,0.01978392030307282,0.0008418689490669286,0.9078153500771713
2017,23,Hòa Bình,Miền Bắc,NguVan,Ngữ văn,7725,5.023,1.5127,0.03326860841423948,0.0,0.45411003236245956
2017,23,Hòa Bình,Miền Bắc,SinhHoc,Sinh học,2996,4.0098,1.3991,0.025033377837116153,0.0006675567423230974,0.8024032042723631
2017,23,Hòa Bình,Miền Bắc,Toan,Toán,7822,3.8109,1.7848,0.04576834569163897,0.00012784454103809768,0.7963436461263104
2017,23,Hòa Bình,Miền Bắc,VatLy,Vật lí,3075,3.9743,1.7918,0.04682926829268293,0.0003252032520325203,0.7502439024390244
2017,24,Hà Nam,Miền Bắc,DiaLy,Địa lí,5048,6.6023,1.3681,0.17373217115689382,0.002377179080824089,0.1109350237717908
2017,24,Hà Nam,Miền Bắc,GDCD,GDCD,4695,8.1535,0.8554,0.6690095846645367,0.0010649627263045794,0.0027689030883919063
2017,24,Hà Nam,Miền Bắc,HoaHoc,Hóa học,3129,6.0731,1.8571,0.19463087248322147,0.003515500159795462,0.2901885586449345
2017,24,Hà Nam,Miền Bắc,LichSu,Lịch sử,5248,4.94,1.5495,0.044397865853658534,0.00038109756097560977,0.516577743902439
2017,24,Hà Nam,Miền Bắc,NgoaiNgu,Ngoại ngữ,7489,4.2305,1.7018,0.055014020563493124,0.0012017625851248497,0.7404192816130325
2017,24,Hà Nam,Miền Bắc,NguVan,Ngữ văn,8002,5.9798,1.3505,0.07035741064733816,0.0,0.18095476130967258
2017,24,Hà Nam,Miền Bắc,SinhHoc,Sinh học,2975,4.8234,1.5013,0.05411764705882353,0.0,0.5825210084033613
2017,24,Hà Nam,Miền Bắc,Toan,Toán,8250,5.6429,1.9548,0.15793939393939394,0.00024242424242424242,0.39175757575757575
2017,24,Hà Nam,Miền Bắc,VatLy,Vật lí,3104,6.0126,1.6975,0.14916237113402062,0.0,0.27448453608247425
2017,25,Nam Định,Miền Bắc,DiaLy,Địa lí,8490,6.6337,1.4091,0.19363957597173145,0.002591283863368669,0.11236749116607773
2017,25,Nam Định,Miền Bắc,GDCD,GDCD,7308,8.1625,0.8675,0.6743295019157088,0.0006841817186644773,0.002736726874657909
2017,25,Nam Định,Miền Bắc,HoaHoc,Hóa học,10151,6.1447,1.8225,0.19909368535119693,0.004531573244015368,0.2702196827898729
2017,25,Nam Định,Miền Bắc,LichSu,Lịch sử,8603,4.8665,1.5483,0.03917238172730443,0.000581192607230036,0.5416715099383936
2017,25,Nam Định,Miền Bắc,NgoaiNgu,Ngoại ngữ,17091,4.8228,1.7824,0.08109531332280147,0.0016967994851091218,0.6011936106722836
2017,25,Nam Định,Miền Bắc,NguVan,Ngữ văn,18319,5.9253,1.124,0.03553687428353076,0.0,0.1395818549047437
2017,25,Nam Định,Miền Bắc,SinhHoc,Sinh học,9862,5.0289,1.4416,0.055059825593185965,0.0013181910363009532,0.5108497262218616
2017,25,Nam Định,Miền Bắc,Toan,Toán,18786,6.1433,1.9394,0.22250612157989993,0.00042584903651655487,0.2840413073565421
2017,25,Nam Định,Miền Bắc,VatLy,Vật lí,10113,6.0339,1.5855,0.13408484129338474,0.0,0.2478987441906457
2017,26,Thái Bình,Miền Bắc,DiaLy,Địa lí,10256,6.3965,1.3775,0.14079563182527302,0.0008775351014040562,0.13679797191887674
2017,26,Thái Bình,Miền Bắc,GDCD,GDCD,8570,7.9844,0.9449,0.602683780630105,0.00023337222870478414,0.005250875145857643
2017,26,Thái Bình,Miền Bắc,HoaHoc,Hóa học,10513,5.803,2.0288,0.1827261485779511,0.006182821268905165,0.363169409302768
2017,26,Thái Bình,Miền Bắc,LichSu,Lịch sử,10329,4.5898,1.5041,0.0314648078226353,0.0002904443799012489,0.6151611966308452
2017,26,Thái Bình,Miền Bắc,NgoaiNgu,Ngoại ngữ,17953,4.4798,1.7932,0.06511446554893333,0.0011697209380047903,0.6781596390575392
2017,26,Thái Bình,Miền Bắc,NguVan,Ngữ văn,19680,5.3527,1.3336,0.02113821138211382,0.0,0.33678861788617886
2017,26,Thái Bình,Miền Bắc,SinhHoc,Sinh học,10213,5.0954,1.5371,0.06765886615098404,0.0006854009595613434,0.49926564182904143
2017,26,Thái Bình,Miền Bắc,Toan,Toán,20227,5.6654,2.046,0.17966084935976664,0.0005932664260641716,0.3963514114797053
2017,26,Thái Bình,Miền Bắc,VatLy,Vật lí,10424,5.6348,1.8115,0.12212202609363008,0.0008633921719109746,0.363296239447429
2017,27,Ninh Bình,Miền Bắc,DiaLy,Địa lí,5211,6.7174,1.4256,0.21934369602763384,0.003070427940894262,0.10074841681059298
2017,27,Ninh Bình,Miền Bắc,GDCD,GDCD,4302,8.1974,0.8601,0.6889818688981869,0.000697350069735007,0.0025569502556950256
2017,27,Ninh Bình,Miền Bắc,HoaHoc,Hóa học,3751,5.8282,1.9517,0.17968541722207412,0.0045321247667288725,0.3585710477206078
2017,27,Ninh Bình,Miền Bắc,LichSu,Lịch sử,5388,4.9342,1.5847,0.05029695619896065,0.0012991833704528583,0.5332219747587231
2017,27,Ninh Bình,Miền Bắc,NgoaiNgu,Ngoại ngữ,7675,4.3623,1.6873,0.05719869706840391,0.001042345276872964,0.7181758957654724
2017,27,Ninh Bình,Miền Bắc,NguVan,Ngữ văn,8725,6.176,1.3528,0.09123209169054441,0.0,0.15702005730659027
2017,27,Ninh Bình,Miền Bắc,SinhHoc,Sinh học,3606,4.9138,1.4325,0.048807542983915694,0.0013865779256794233,0.5435385468663338
2017,27,Ninh Bình,Miền Bắc,Toan,Toán,8933,5.5456,1.9677,0.1517967088324191,0.0008955558043210567,0.4188962274711743
2017,27,Ninh Bình,Miền Bắc,VatLy,Vật lí,3740,5.9152,1.6454,0.1267379679144385,0.0005347593582887701,0.2796791443850267
2017,28,Thanh Hóa,Miền Trung,DiaLy,Địa lí,21290,6.0575,1.653,0.13560356975105683,0.0018318459370596524,0.22752465946453734
2017,28,Thanh Hóa,Miền Trung,GDCD,GDCD,18679,7.5269,1.1132,0.4175277049092564,0.0,0.01975480486107393
2017,28,Thanh Hóa,Miền Trung,HoaHoc,Hóa học,13867,5.37,2.1968,0.1678084661426408,0.00598543304247494,0.46830605033532846
2017,28,Thanh Hóa,Miền Trung,LichSu,Lịch sử,21756,4.4174,1.653,0.04430961573818717,0.0004136789851075565,0.6713550284978856
2017,28,Thanh Hóa,Miền Trung,NgoaiNgu,Ngoại ngữ,29127,3.7038,1.5596,0.03628935352078827,0.0004806536890170632,0.8469461324544237
2017,28,Thanh Hóa,Miền Trung,NguVan,Ngữ văn,32115,5.3496,1.3564,0.025875758991125642,0.0,0.3313093569982874
2017,28,Thanh Hóa,Miền Trung,SinhHoc,Sinh học,13078,4.36,1.5324,0.04618443187031656,0.0013763572411683743,0.7227404801957485
2017,28,Thanh Hóa,Miền Trung,Toan,Toán,33033,4.7958,2.1775,0.1262373989646717,0.000847637211273575,0.5888656797747707
2017,28,Thanh Hóa,Miền Trung,VatLy,Vật lí,13780,5.3133,2.0081,0.12656023222060958,0.0005805515239477503,0.45130624092888244
2017,29,Nghệ An,Miền Trung,DiaLy,Địa lí,19557,6.234,1.4351,0.12512143989364422,0.0023520989926880402,0.17119190059825126
2017,29,Nghệ An,Miền Trung,GDCD,GDCD,18323,7.6112,1.0242,0.4383561643835616,0.00010915243137040878,0.013589477705615893
2017,29,Nghệ An,Miền Trung,HoaHoc,Hóa học,12903,5.4498,2.1252,0.16267534681856932,0.007052623420909866,0.447105324343176
2017,29,Nghệ An,Miền Trung,LichSu,Lịch sử,19821,4.5277,1.5039,0.034407951162908026,0.00025225770647293276,0.6503708188285152
