year,subject,subject_label,count,mean,std,min,p05,p25,median,p75,p95,max,p90,share_ge_8,share_ge_9,share_ge_10,count_10,share_lt_5,share_le_1,skew,excess_kurtosis,normality_distance
2025,NgoaiNgu,Ngoại ngữ,362975,5.4063,1.4876,0.0,3.0,4.25,5.25,6.25,8.0,10.0,7.5,0.06118052207452304,0.017992974722777052,0.0011488394517528756,417,0.37880570287209864,8.265032026999105e-05,0.3122,-0.076,0.38825857118178836
2025,NguVan,Ngữ văn,1144098,6.9905,1.291,0.0,4.5,6.25,7.25,8.0,8.75,9.75,8.5,0.26599382220753814,0.03916098096491734,0.0,0,0.0646867663434426,0.00010925637489096214,-0.7839,0.7623,1.5461425621482003
2025,SinhHoc,Sinh học,71616,5.7806,1.594,0.0,3.25,4.6,5.75,7.0,8.5,10.0,8.0,0.1103943252904379,0.02581825290437891,0.0011729222520107238,84,0.32434092940125114,0.00022341376228775692,0.1232,-0.5339,0.6571101865688925
2025,TinHoc,Tin học,7602,6.7828,1.4826,1.35,4.25,5.75,6.75,7.85,9.25,10.0,8.75,0.24796106287818995,0.0847145488029466,0.007892659826361484,60,0.11220731386477242,0.0,-0.1153,-0.4459,0.5612519792319511
2025,Toan,Toán,1137417,4.7997,1.6885,0.0,2.25,3.55,4.6,5.85,8.0,10.0,7.25,0.056652045819607054,0.014395775691764761,0.00045102192072036905,513,0.5605929927194687,0.0006980729143313315,0.3939,-0.3085,0.702416389496267
2025,VatLy,Vật lí,351733,6.9785,1.5216,0.0,4.35,5.85,7.0,8.25,9.25,10.0,9.0,0.3068350140589595,0.11445044963082793,0.011170404824113746,3929,0.09910926754100412,1.9901459345583154e-05,-0.2195,-0.5445,0.7639717305083686
2026,CongNgheCongNghiep,Công nghệ công nghiệp,7209,6.5015,1.4556,2.35,4.45,5.35,6.25,7.5,9.25,10.0,8.75,0.19323068386738798,0.07698709945900957,0.0055486197808295185,40,0.13691219309196836,0.0,0.3499,-0.571,0.9208597732444042
2026,CongNgheNongNghiep,Công nghệ nông nghiệp,31079,6.9614,1.2654,1.2,4.7,6.25,7.0,7.75,8.75,10.0,8.5,0.24302583738215516,0.04684835419415039,0.0014157469674056437,44,0.067183628816886,0.0,-0.5099,0.2841,0.7940378226976963
2026,DiaLy,Địa lí,443885,5.1009,1.5795,0.0,2.6,3.85,5.0,6.25,7.75,10.0,7.25,0.04135305315565969,0.005260371492616331,0.00012615880239251159,56,0.47007445622176913,0.00022978924721493179,0.134,-0.5842,0.7182480124697783
2026,HoaHoc,Hóa học,250803,6.2844,1.6387,0.45,3.35,5.1,6.5,7.5,8.75,10.0,8.25,0.17851461106924557,0.03762315442797734,0.0016427235718870987,412,0.219809970375155,4.784631762777957e-05,-0.2816,-0.5605,0.8420934723271918
2026,KinhTePhapLuat,Kinh tế và pháp luật,282519,5.023,1.3096,0.75,2.85,4.1,5.0,6.0,7.25,10.0,6.75,0.01249473486738945,0.0007964066133605174,7.079169896537932e-06,2,0.47882089346203266,5.309377422403449e-05,0.0574,-0.3882,0.4455341046097877
2026,LichSu,Lịch sử,565056,6.1905,1.7011,0.0,3.5,4.85,6.1,7.5,9.0,10.0,8.5,0.18682927001925473,0.06375297315664288,0.004362399478989693,2465,0.25773197700758865,1.2388152678672557e-05,0.0508,-0.73,0.7808090059117484
2026,NgoaiNgu,Ngoại ngữ,344227,5.0926,1.6954,0.5,2.75,3.75,5.0,6.25,8.25,10.0,7.5,0.07378270734137647,0.022395105555345747,0.0010487265670618517,361,0.4995163075528648,0.00018011370403832355,0.4742,-0.3515,0.8256086821420243
2026,NguVan,Ngữ văn,1197227,6.4972,1.3244,0.0,4.0,5.75,6.75,7.5,8.25,9.75,8.0,0.13563760255991553,0.005906983387444486,0.0,0,0.11082693591106782,0.00013113636762284846,-0.7549,0.5688,1.3237061842872362
2026,SinhHoc,Sinh học,68923,5.837,1.6227,1.2,3.35,4.6,5.75,7.0,8.75,10.0,8.25,0.12634389100880694,0.0408136616223902,0.0018716538746136994,129,0.3142782525426926,0.0,0.2479,-0.5135,0.7614527267300509
2026,TinHoc,Tin học,18264,6.0728,1.5324,1.6,3.6,4.95,6.0,7.25,8.75,10.0,8.25,0.13146079719667106,0.037505475251861584,0.0013688129653964083,25,0.2504927726675427,0.0,0.0894,-0.5407,0.6300917271243728
2026,Toan,Toán,1192437,5.6516,1.8933,0.45,2.7,4.25,5.5,7.25,8.75,10.0,8.25,0.1563302715363579,0.04245088000456208,0.0035289076068588947,4208,0.379758427489251,0.00021217053815002386,0.0717,-0.8842,0.9558777323488539
